City,Year,Data_Type,Mode,Avg_Commute_Time,Source1,Source2
Sonoma,2018,Residence,Carpool,,B08013_ACS18_5YR,B08301_ACS18_5YR
South San Francisco,2018,Residence,Carpool,27.74,B08013_ACS18_5YR,B08301_ACS18_5YR
St. Helena,2018,Residence,Carpool,25.9,B08013_ACS18_5YR,B08301_ACS18_5YR
Suisun City,2018,Residence,Carpool,37.19,B08013_ACS18_5YR,B08301_ACS18_5YR
Sunnyvale,2018,Residence,Carpool,23.64,B08013_ACS18_5YR,B08301_ACS18_5YR
Tiburon,2018,Residence,Carpool,,B08013_ACS18_5YR,B08301_ACS18_5YR
Union City,2018,Residence,Carpool,35.11,B08013_ACS18_5YR,B08301_ACS18_5YR
Vacaville,2018,Residence,Carpool,37.07,B08013_ACS18_5YR,B08301_ACS18_5YR
Vallejo,2018,Residence,Carpool,39.94,B08013_ACS18_5YR,B08301_ACS18_5YR
Walnut Creek,2018,Residence,Carpool,30.93,B08013_ACS18_5YR,B08301_ACS18_5YR
Windsor,2018,Residence,Carpool,22.88,B08013_ACS18_5YR,B08301_ACS18_5YR
Woodside,2018,Residence,Carpool,,B08013_ACS18_5YR,B08301_ACS18_5YR
Yountville,2018,Residence,Carpool,,B08013_ACS18_5YR,B08301_ACS18_5YR
Alameda,2018,Residence,Transit,53.92,B08013_ACS18_5YR,B08301_ACS18_5YR
Albany,2018,Residence,Transit,46.16,B08013_ACS18_5YR,B08301_ACS18_5YR
American Canyon,2018,Residence,Transit,,B08013_ACS18_5YR,B08301_ACS18_5YR
Antioch,2018,Residence,Transit,81.52,B08013_ACS18_5YR,B08301_ACS18_5YR
Atherton,2018,Residence,Transit,,B08013_ACS18_5YR,B08301_ACS18_5YR
Belmont,2018,Residence,Transit,57.12,B08013_ACS18_5YR,B08301_ACS18_5YR
Belvedere,2018,Residence,Transit,,B08013_ACS18_5YR,B08301_ACS18_5YR
Benicia,2018,Residence,Transit,80.51,B08013_ACS18_5YR,B08301_ACS18_5YR
Berkeley,2018,Residence,Transit,47.24,B08013_ACS18_5YR,B08301_ACS18_5YR
Brentwood,2018,Residence,Transit,98.37,B08013_ACS18_5YR,B08301_ACS18_5YR
Brisbane,2018,Residence,Transit,,B08013_ACS18_5YR,B08301_ACS18_5YR
Burlingame,2018,Residence,Transit,48.97,B08013_ACS18_5YR,B08301_ACS18_5YR
Calistoga,2018,Residence,Transit,,B08013_ACS18_5YR,B08301_ACS18_5YR
Campbell,2018,Residence,Transit,57.91,B08013_ACS18_5YR,B08301_ACS18_5YR
Clayton,2018,Residence,Transit,68.78,B08013_ACS18_5YR,B08301_ACS18_5YR
Cloverdale,2018,Residence,Transit,65.54,B08013_ACS18_5YR,B08301_ACS18_5YR
Colma,2018,Residence,Transit,,B08013_ACS18_5YR,B08301_ACS18_5YR
Concord,2018,Residence,Transit,64.05,B08013_ACS18_5YR,B08301_ACS18_5YR
Corte Madera,2018,Residence,Transit,63.52,B08013_ACS18_5YR,B08301_ACS18_5YR
Cotati,2018,Residence,Transit,70,B08013_ACS18_5YR,B08301_ACS18_5YR
Cupertino,2018,Residence,Transit,60.22,B08013_ACS18_5YR,B08301_ACS18_5YR
Daly City,2018,Residence,Transit,44.23,B08013_ACS18_5YR,B08301_ACS18_5YR
Danville,2018,Residence,Transit,66.27,B08013_ACS18_5YR,B08301_ACS18_5YR
Dixon,2018,Residence,Transit,,B08013_ACS18_5YR,B08301_ACS18_5YR
Dublin,2018,Residence,Transit,74.35,B08013_ACS18_5YR,B08301_ACS18_5YR
East Palo Alto,2018,Residence,Transit,,B08013_ACS18_5YR,B08301_ACS18_5YR
El Cerrito,2018,Residence,Transit,47.56,B08013_ACS18_5YR,B08301_ACS18_5YR
Emeryville,2018,Residence,Transit,45.62,B08013_ACS18_5YR,B08301_ACS18_5YR
Fairfax,2018,Residence,Transit,,B08013_ACS18_5YR,B08301_ACS18_5YR
Fairfield,2018,Residence,Transit,62.68,B08013_ACS18_5YR,B08301_ACS18_5YR
Foster City,2018,Residence,Transit,60.72,B08013_ACS18_5YR,B08301_ACS18_5YR
Fremont,2018,Residence,Transit,64.34,B08013_ACS18_5YR,B08301_ACS18_5YR
Gilroy,2018,Residence,Transit,,B08013_ACS18_5YR,B08301_ACS18_5YR
Half Moon Bay,2018,Residence,Transit,,B08013_ACS18_5YR,B08301_ACS18_5YR
Hayward,2018,Residence,Transit,54.27,B08013_ACS18_5YR,B08301_ACS18_5YR
Healdsburg,2018,Residence,Transit,73.73,B08013_ACS18_5YR,B08301_ACS18_5YR
Hercules,2018,Residence,Transit,,B08013_ACS18_5YR,B08301_ACS18_5YR
Hillsborough,2018,Residence,Transit,47.78,B08013_ACS18_5YR,B08301_ACS18_5YR
Lafayette,2018,Residence,Transit,50.07,B08013_ACS18_5YR,B08301_ACS18_5YR
Larkspur,2018,Residence,Transit,62.37,B08013_ACS18_5YR,B08301_ACS18_5YR
Livermore,2018,Residence,Transit,76.31,B08013_ACS18_5YR,B08301_ACS18_5YR
Los Altos,2018,Residence,Transit,58.43,B08013_ACS18_5YR,B08301_ACS18_5YR
Los Altos Hills,2018,Residence,Transit,,B08013_ACS18_5YR,B08301_ACS18_5YR
Los Gatos,2018,Residence,Transit,,B08013_ACS18_5YR,B08301_ACS18_5YR
Martinez,2018,Residence,Transit,67.15,B08013_ACS18_5YR,B08301_ACS18_5YR
Menlo Park,2018,Residence,Transit,54.64,B08013_ACS18_5YR,B08301_ACS18_5YR
Mill Valley,2018,Residence,Transit,,B08013_ACS18_5YR,B08301_ACS18_5YR
Millbrae,2018,Residence,Transit,48.6,B08013_ACS18_5YR,B08301_ACS18_5YR
Milpitas,2018,Residence,Transit,49.34,B08013_ACS18_5YR,B08301_ACS18_5YR
Monte Sereno,2018,Residence,Transit,,B08013_ACS18_5YR,B08301_ACS18_5YR
Moraga,2018,Residence,Transit,51.66,B08013_ACS18_5YR,B08301_ACS18_5YR
Morgan Hill,2018,Residence,Transit,71.9,B08013_ACS18_5YR,B08301_ACS18_5YR
Mountain View,2018,Residence,Transit,49.93,B08013_ACS18_5YR,B08301_ACS18_5YR
Napa,2018,Residence,Transit,59.33,B08013_ACS18_5YR,B08301_ACS18_5YR
Newark,2018,Residence,Transit,58.62,B08013_ACS18_5YR,B08301_ACS18_5YR
Novato,2018,Residence,Transit,70.03,B08013_ACS18_5YR,B08301_ACS18_5YR
Oakland,2018,Residence,Transit,47.3,B08013_ACS18_5YR,B08301_ACS18_5YR
Oakley,2018,Residence,Transit,89,B08013_ACS18_5YR,B08301_ACS18_5YR
Orinda,2018,Residence,Transit,,B08013_ACS18_5YR,B08301_ACS18_5YR
Pacifica,2018,Residence,Transit,52.25,B08013_ACS18_5YR,B08301_ACS18_5YR
Palo Alto,2018,Residence,Transit,57.94,B08013_ACS18_5YR,B08301_ACS18_5YR
Petaluma,2018,Residence,Transit,73.73,B08013_ACS18_5YR,B08301_ACS18_5YR
Piedmont,2018,Residence,Transit,47.35,B08013_ACS18_5YR,B08301_ACS18_5YR
Pinole,2018,Residence,Transit,,B08013_ACS18_5YR,B08301_ACS18_5YR
Pittsburg,2018,Residence,Transit,79.24,B08013_ACS18_5YR,B08301_ACS18_5YR
Pleasant Hill,2018,Residence,Transit,65.22,B08013_ACS18_5YR,B08301_ACS18_5YR
Pleasanton,2018,Residence,Transit,70.23,B08013_ACS18_5YR,B08301_ACS18_5YR
Portola Valley,2018,Residence,Transit,,B08013_ACS18_5YR,B08301_ACS18_5YR
Redwood City,2018,Residence,Transit,50.36,B08013_ACS18_5YR,B08301_ACS18_5YR
Richmond,2018,Residence,Transit,55.93,B08013_ACS18_5YR,B08301_ACS18_5YR
Rio Vista,2018,Residence,Transit,,B08013_ACS18_5YR,B08301_ACS18_5YR
Rohnert Park,2018,Residence,Transit,56.36,B08013_ACS18_5YR,B08301_ACS18_5YR
Ross,2018,Residence,Transit,,B08013_ACS18_5YR,B08301_ACS18_5YR
San Anselmo,2018,Residence,Transit,,B08013_ACS18_5YR,B08301_ACS18_5YR
San Bruno,2018,Residence,Transit,48.14,B08013_ACS18_5YR,B08301_ACS18_5YR
San Carlos,2018,Residence,Transit,53.86,B08013_ACS18_5YR,B08301_ACS18_5YR
San Francisco,2018,Residence,Transit,41.89,B08013_ACS18_5YR,B08301_ACS18_5YR
San Jose,2018,Residence,Transit,57.05,B08013_ACS18_5YR,B08301_ACS18_5YR
San Leandro,2018,Residence,Transit,52.4,B08013_ACS18_5YR,B08301_ACS18_5YR
San Mateo,2018,Residence,Transit,51.51,B08013_ACS18_5YR,B08301_ACS18_5YR
San Pablo,2018,Residence,Transit,,B08013_ACS18_5YR,B08301_ACS18_5YR
San Rafael,2018,Residence,Transit,53.43,B08013_ACS18_5YR,B08301_ACS18_5YR
San Ramon,2018,Residence,Transit,74.52,B08013_ACS18_5YR,B08301_ACS18_5YR
Santa Clara,2018,Residence,Transit,53.42,B08013_ACS18_5YR,B08301_ACS18_5YR
Santa Rosa,2018,Residence,Transit,,B08013_ACS18_5YR,B08301_ACS18_5YR
Saratoga,2018,Residence,Transit,72.37,B08013_ACS18_5YR,B08301_ACS18_5YR
Sausalito,2018,Residence,Transit,,B08013_ACS18_5YR,B08301_ACS18_5YR
Sebastopol,2018,Residence,Transit,,B08013_ACS18_5YR,B08301_ACS18_5YR
Sonoma,2018,Residence,Transit,,B08013_ACS18_5YR,B08301_ACS18_5YR
South San Francisco,2018,Residence,Transit,46.48,B08013_ACS18_5YR,B08301_ACS18_5YR
St. Helena,2018,Residence,Transit,32.44,B08013_ACS18_5YR,B08301_ACS18_5YR
Suisun City,2018,Residence,Transit,73.95,B08013_ACS18_5YR,B08301_ACS18_5YR
Sunnyvale,2018,Residence,Transit,53.13,B08013_ACS18_5YR,B08301_ACS18_5YR
Tiburon,2018,Residence,Transit,,B08013_ACS18_5YR,B08301_ACS18_5YR
Union City,2018,Residence,Transit,58.19,B08013_ACS18_5YR,B08301_ACS18_5YR
Vacaville,2018,Residence,Transit,70.24,B08013_ACS18_5YR,B08301_ACS18_5YR
Vallejo,2018,Residence,Transit,77.74,B08013_ACS18_5YR,B08301_ACS18_5YR
Walnut Creek,2018,Residence,Transit,58.94,B08013_ACS18_5YR,B08301_ACS18_5YR
Windsor,2018,Residence,Transit,51.47,B08013_ACS18_5YR,B08301_ACS18_5YR
Woodside,2018,Residence,Transit,,B08013_ACS18_5YR,B08301_ACS18_5YR
Yountville,2018,Residence,Transit,,B08013_ACS18_5YR,B08301_ACS18_5YR
