City,Year,Data_Type,Mode,Avg_Commute_Time,Source1,Source2
Portola Valley,2018,Residence,Overall,21.01,B08013_ACS18_5YR,B08301_ACS18_5YR
Redwood City,2018,Residence,Overall,24.75,B08013_ACS18_5YR,B08301_ACS18_5YR
Richmond,2018,Residence,Overall,33.05,B08013_ACS18_5YR,B08301_ACS18_5YR
Rio Vista,2018,Residence,Overall,37.24,B08013_ACS18_5YR,B08301_ACS18_5YR
Rohnert Park,2018,Residence,Overall,25.93,B08013_ACS18_5YR,B08301_ACS18_5YR
Ross,2018,Residence,Overall,26.57,B08013_ACS18_5YR,B08301_ACS18_5YR
San Anselmo,2018,Residence,Overall,29.65,B08013_ACS18_5YR,B08301_ACS18_5YR
San Bruno,2018,Residence,Overall,27.51,B08013_ACS18_5YR,B08301_ACS18_5YR
San Carlos,2018,Residence,Overall,27.05,B08013_ACS18_5YR,B08301_ACS18_5YR
San Francisco,2018,Residence,Overall,31.1,B08013_ACS18_5YR,B08301_ACS18_5YR
San Jose,2018,Residence,Overall,28.91,B08013_ACS18_5YR,B08301_ACS18_5YR
San Leandro,2018,Residence,Overall,31.86,B08013_ACS18_5YR,B08301_ACS18_5YR
San Mateo,2018,Residence,Overall,26.74,B08013_ACS18_5YR,B08301_ACS18_5YR
San Pablo,2018,Residence,Overall,34.69,B08013_ACS18_5YR,B08301_ACS18_5YR
San Rafael,2018,Residence,Overall,26.03,B08013_ACS18_5YR,B08301_ACS18_5YR
San Ramon,2018,Residence,Overall,34.8,B08013_ACS18_5YR,B08301_ACS18_5YR
Santa Clara,2018,Residence,Overall,22.82,B08013_ACS18_5YR,B08301_ACS18_5YR
Santa Rosa,2018,Residence,Overall,21.88,B08013_ACS18_5YR,B08301_ACS18_5YR
Saratoga,2018,Residence,Overall,26.09,B08013_ACS18_5YR,B08301_ACS18_5YR
Sausalito,2018,Residence,Overall,26.4,B08013_ACS18_5YR,B08301_ACS18_5YR
Sebastopol,2018,Residence,Overall,24.57,B08013_ACS18_5YR,B08301_ACS18_5YR
Sonoma,2018,Residence,Overall,25.7,B08013_ACS18_5YR,B08301_ACS18_5YR
South San Francisco,2018,Residence,Overall,27.8,B08013_ACS18_5YR,B08301_ACS18_5YR
St. Helena,2018,Residence,Overall,17.59,B08013_ACS18_5YR,B08301_ACS18_5YR
Suisun City,2018,Residence,Overall,33.73,B08013_ACS18_5YR,B08301_ACS18_5YR
Sunnyvale,2018,Residence,Overall,23.6,B08013_ACS18_5YR,B08301_ACS18_5YR
Tiburon,2018,Residence,Overall,26.12,B08013_ACS18_5YR,B08301_ACS18_5YR
Union City,2018,Residence,Overall,32.46,B08013_ACS18_5YR,B08301_ACS18_5YR
Vacaville,2018,Residence,Overall,27.12,B08013_ACS18_5YR,B08301_ACS18_5YR
Vallejo,2018,Residence,Overall,34.37,B08013_ACS18_5YR,B08301_ACS18_5YR
Walnut Creek,2018,Residence,Overall,32.1,B08013_ACS18_5YR,B08301_ACS18_5YR
Windsor,2018,Residence,Overall,22.56,B08013_ACS18_5YR,B08301_ACS18_5YR
Woodside,2018,Residence,Overall,21.28,B08013_ACS18_5YR,B08301_ACS18_5YR
Yountville,2018,Residence,Overall,26.51,B08013_ACS18_5YR,B08301_ACS18_5YR
Alameda,2018,Residence,Drive Alone,29.54,B08013_ACS18_5YR,B08301_ACS18_5YR
Albany,2018,Residence,Drive Alone,27.14,B08013_ACS18_5YR,B08301_ACS18_5YR
American Canyon,2018,Residence,Drive Alone,,B08013_ACS18_5YR,B08301_ACS18_5YR
Antioch,2018,Residence,Drive Alone,41.36,B08013_ACS18_5YR,B08301_ACS18_5YR
Atherton,2018,Residence,Drive Alone,,B08013_ACS18_5YR,B08301_ACS18_5YR
Belmont,2018,Residence,Drive Alone,27.3,B08013_ACS18_5YR,B08301_ACS18_5YR
Belvedere,2018,Residence,Drive Alone,,B08013_ACS18_5YR,B08301_ACS18_5YR
Benicia,2018,Residence,Drive Alone,29.67,B08013_ACS18_5YR,B08301_ACS18_5YR
Berkeley,2018,Residence,Drive Alone,26.41,B08013_ACS18_5YR,B08301_ACS18_5YR
Brentwood,2018,Residence,Drive Alone,45.58,B08013_ACS18_5YR,B08301_ACS18_5YR
