Objectid,Year,County,City,Medprice,Medprice_Ia,Percentchngprice,Percentchngpriceia,Source
83,2000,Solano County,Vacaville,209000,359000,0,0,Zillow
84,2000,Solano County,Vallejo,194000,335000,0,0,Zillow
85,2000,Sonoma County,Cloverdale,255000,438000,0,0,Zillow
86,2000,Sonoma County,Cotati,272000,469000,0,0,Zillow
87,2000,Sonoma County,Healdsburg,400000,687000,0,0,Zillow
88,2000,Sonoma County,Petaluma,322000,555000,0,0,Zillow
89,2000,Sonoma County,Rohnert Park,257000,442000,0,0,Zillow
90,2000,Sonoma County,Santa Rosa,267000,459000,0,0,Zillow
91,2000,Sonoma County,Sebastopol,382000,657000,0,0,Zillow
92,2000,Sonoma County,Sonoma,369000,634000,0,0,Zillow
93,2000,Sonoma County,Windsor,279000,480000,0,0,Zillow
94,2001,Alameda County,Alameda,456000,744000,0.184415584415584,0.123867069486405,Zillow
95,2001,Alameda County,Albany,412000,672000,0.190751445086705,0.129411764705882,Zillow
96,2001,Alameda County,Berkeley,533000,870000,0.197752808988764,0.137254901960784,Zillow
97,2001,Alameda County,Dublin,466000,760000,0.194871794871795,0.132637853949329,Zillow
98,2001,Alameda County,Emeryville,235000,383000,0.27027027027027,0.200626959247649,Zillow
99,2001,Alameda County,Fremont,464000,757000,0.227513227513227,0.164615384615385,Zillow
100,2001,Alameda County,Hayward,322000,525000,0.224334600760456,0.161504424778761,Zillow
101,2001,Alameda County,Livermore,398000,649000,0.188059701492537,0.126736111111111,Zillow
102,2001,Alameda County,Newark,396000,646000,0.222222222222222,0.159784560143627,Zillow
103,2001,Alameda County,Oakland,319000,520000,0.255905511811024,0.189931350114416,Zillow
104,2001,Alameda County,Piedmont,644000,1050000,0.177330895795247,0.115834218916047,Zillow
105,2001,Alameda County,Pleasanton,544000,887000,0.185185185185185,0.124207858048162,Zillow
106,2001,Alameda County,San Leandro,322000,526000,0.21969696969697,0.156043956043956,Zillow
107,2001,Alameda County,Union City,414000,675000,0.246987951807229,0.184210526315789,Zillow
108,2001,Contra Costa County,Antioch,411000,670000,0.167613636363636,0.107438016528926,Zillow
109,2001,Contra Costa County,Brentwood,372000,607000,0.169811320754717,0.107664233576642,Zillow
110,2001,Contra Costa County,Concord,189000,308000,0.18125,0.115942028985507,Zillow
111,2001,Contra Costa County,Danville,839000,1369000,0.15564738292011,0.096076861489191,Zillow
112,2001,Contra Costa County,Lafayette,649000,1059000,0.154804270462633,0.095139607032058,Zillow
113,2001,Contra Costa County,Martinez,284000,463000,0.168724279835391,0.107655502392344,Zillow
114,2001,Contra Costa County,Oakley,296000,483000,0.16078431372549,0.102739726027397,Zillow
115,2001,Contra Costa County,Pittsburg,323000,528000,0.161870503597122,0.104602510460251,Zillow
116,2001,Contra Costa County,Pleasant Hill,496000,810000,0.167058823529412,0.10655737704918,Zillow
117,2001,Contra Costa County,Richmond,305000,497000,0.177606177606178,0.11685393258427,Zillow
118,2001,Contra Costa County,San Pablo,191000,312000,0.150602409638554,0.090909090909091,Zillow
119,2001,Contra Costa County,San Ramon,537000,876000,0.147435897435897,0.08955223880597,Zillow
120,2001,Contra Costa County,Walnut Creek,452000,738000,0.144303797468355,0.086892488954345,Zillow
121,2001,Marin County,Belvedere,2453000,4001000,0.214356435643564,0.152361751152074,Zillow
122,2001,Marin County,Corte Madera,806000,1315000,0.141643059490085,0.083196046128501,Zillow
123,2001,Marin County,Fairfax,545000,889000,0.169527896995708,0.108478802992519,Zillow
124,2001,Marin County,Larkspur,848000,1383000,0.191011235955056,0.128979591836735,Zillow
125,2001,Marin County,Mill Valley,954000,1556000,0.198492462311558,0.137426900584795,Zillow
126,2001,Marin County,Novato,526000,859000,0.182022471910112,0.121409921671018,Zillow
127,2001,Marin County,Ross,1755000,2862000,0.270818247646633,0.205560235888795,Zillow
128,2001,Marin County,San Anselmo,683000,1114000,0.171526586620926,0.111776447105788,Zillow
129,2001,Marin County,San Rafael,618000,1008000,0.177142857142857,0.116279069767442,Zillow
130,2001,Marin County,Sausalito,831000,1355000,0.259090909090909,0.193832599118943,Zillow
131,2001,Marin County,Tiburon,1556000,2538000,0.2448,0.181564245810056,Zillow
132,2001,Napa County,American Canyon,245000,399000,0.25,0.180473372781065,Zillow
